Data File Name,2100 expert_Eukaryote Total RNA Pico_DE13805791_2015-08-26_14-49-17.xad
Data File Path,C:\Laurent\Meenu\2015-08-26
Date Created,"Wednesday, August 26, 2015 9:49:16 PM"
Date Last Modified,"Wednesday, August 26, 2015 10:12:31 PM"
Version Created,B.02.08.SI648
Version Last Modified,B.02.08.SI648
 
Assay Name,Eukaryote Total RNA Pico Series II
Assay Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\assays\RNA
Assay Title,Eukaryote Total RNA Pico
Assay Version,2.6
 
Number of Samples Run,11
 
Sample Name,Filtered 1
Number of Events,1060
 
Time,Value
17,-1.405178E-02
17.05,-3.732168E-02
17.1,-2.899126E-02
17.15,4.521184E-03
17.2,2.097188E-02
17.25,3.346559E-02
17.3,3.805905E-02
17.35,1.565769E-02
17.4,-1.136854E-02
17.45,-3.145685E-02
17.5,-4.705235E-02
17.55,-5.285718E-02
17.6,-0.0446978
17.65,-2.522942E-02
17.7,-1.762499E-03
17.75,1.927328E-02
17.8,4.613249E-02
17.85,6.915787E-02
17.9,7.850145E-02
17.95,5.577553E-02
18,1.515466E-02
18.05,-1.708489E-02
18.1,-2.818575E-02
18.15,-1.243938E-02
18.2,8.38119E-03
18.25,3.054305E-02
18.3,1.885851E-02
18.35,-2.731573E-03
18.4,-2.194901E-02
18.45,-1.209295E-02
18.5,-3.734113E-03
18.55,2.610594E-03
18.6,5.546581E-03
18.65,1.468556E-02
18.7,5.84372E-03
18.75,-9.861382E-03
18.8,-0.0156333
18.85,8.959641E-04
18.9,1.152243E-02
18.95,0.0303792
19,4.298792E-02
19.05,5.501112E-02
19.1,0.0373422
19.15,1.087141E-02
19.2,-1.367597E-02
19.25,-4.681708E-02
19.3,-7.602243E-02
19.35,-8.515466E-02
19.4,-5.974481E-02
19.45,-3.201226E-02
19.5,-3.016711E-02
19.55,-2.272618E-02
19.6,-3.236398E-02
19.65,-6.859002E-02
19.7,-5.192118E-02
19.75,-1.291533E-02
19.8,1.730601E-02
19.85,2.911439E-02
19.9,2.989533E-02
19.95,4.119372E-02
20,1.092728E-02
20.05,-7.703891E-03
20.1,3.567122E-03
20.15,-4.643665E-02
20.2,-0.0679542
20.25,-8.156286E-02
20.3,-0.0824389
20.35,-7.725435E-02
20.4,-0.0669264
20.45,-4.204654E-02
20.5,-2.222187E-02
20.55,-1.316829E-02
20.6,-3.839818E-03
20.65,3.929044E-03
20.7,7.434722E-03
20.75,0.0281945
20.8,5.904938E-02
20.85,7.488751E-02
20.9,6.744462E-02
20.95,6.194815E-02
21,5.246538E-02
21.05,4.172602E-02
21.1,3.713295E-02
21.15,3.759333E-02
21.2,0.0396605
21.25,3.615835E-02
21.3,3.649745E-02
21.35,2.814176E-02
21.4,8.435774E-03
21.45,4.242287E-03
21.5,9.060834E-03
21.55,1.619202E-02
21.6,3.407357E-02
21.65,4.021718E-02
21.7,-1.784051E-02
21.75,0.1229959
21.8,1.291015
21.85,4.389017
21.9,9.094781
21.95,13.53916
22,15.47782
22.05,13.84574
22.1,9.638556
22.15,4.922569
22.2,1.613675
22.25,0.3565431
22.3,0.4124592
22.35,0.825738
22.4,1.082758
22.45,1.251319
22.5,1.471858
22.55,1.759629
22.6,2.126124
22.65,2.5627
22.7,3.073798
22.75,3.696203
22.8,4.463138
22.85,5.458646
22.9,6.705421
22.95,8.205926
23,9.844115
23.05,11.33786
23.1,12.48234
23.15,13.24574
23.2,13.67692
23.25,13.96819
23.3,14.30969
23.35,14.79493
23.4,15.35674
23.45,15.97987
23.5,16.62606
23.55,17.29705
23.6,17.96262
23.65,18.86199
23.7,19.8896
23.75,21.08128
23.8,22.42387
23.85,23.91121
23.9,25.42137
23.95,26.95756
