Data File Name,2100 expert_Eukaryote Total RNA Pico_DE13805791_2015-08-26_14-49-17.xad
Data File Path,C:\Laurent\Meenu\2015-08-26
Date Created,"Wednesday, August 26, 2015 9:49:16 PM"
Date Last Modified,"Wednesday, August 26, 2015 10:12:31 PM"
Version Created,B.02.08.SI648
Version Last Modified,B.02.08.SI648
 
Assay Name,Eukaryote Total RNA Pico Series II
Assay Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\assays\RNA
Assay Title,Eukaryote Total RNA Pico
Assay Version,2.6
 
Number of Samples Run,11
 
Sample Name,Filtered 3
Number of Events,1060
 
Time,Value
17,-5.916947E-02
17.05,-9.106884E-02
17.1,-8.721872E-02
17.15,-7.299084E-02
17.2,-4.550106E-02
17.25,-2.905511E-02
17.3,-4.504045E-02
17.35,-5.944985E-02
17.4,-6.480207E-02
17.45,-7.578924E-02
17.5,-6.805401E-02
17.55,-5.975252E-02
17.6,-4.828908E-02
17.65,-2.559831E-02
17.7,-2.044562E-02
17.75,-0.035753
17.8,-6.080838E-02
17.85,-7.372116E-02
17.9,-6.845085E-02
17.95,-4.049551E-02
18,-2.622368E-02
18.05,-3.904071E-02
18.1,-5.105719E-02
18.15,-3.588399E-02
18.2,-0.0220641
18.25,-5.595826E-03
18.3,1.040709E-02
18.35,-1.244202E-02
18.4,-1.864001E-02
18.45,-4.167064E-02
18.5,-2.589856E-02
18.55,0.4546244
18.6,2.379662
18.65,5.190335
18.7,7.202712
18.75,7.101943
18.8,4.827946
18.85,2.108881
18.9,0.4493261
18.95,9.179258E-02
19,0.2801865
19.05,0.4733582
19.1,0.6483704
19.15,0.871875
19.2,1.122308
19.25,1.44951
19.3,1.816868
19.35,2.281849
19.4,2.906392
19.45,3.692589
19.5,4.690073
19.55,5.95419
19.6,7.385469
19.65,8.781919
19.7,9.911202
19.75,10.67616
19.8,11.18954
19.85,11.60209
19.9,12.0961
19.95,12.68873
20,13.41963
20.05,14.24502
20.1,15.21483
20.15,16.31616
20.2,17.64388
20.25,19.27057
20.3,21.28445
20.35,23.45237
20.4,25.57699
20.45,27.45053
20.5,28.92149
20.55,30.31935
20.6,31.83116
20.65,33.64647
20.7,35.79535
20.75,37.98638
20.8,39.91962
20.85,41.34373
20.9,41.97952
20.95,41.78488
21,40.9501
21.05,39.86679
21.1,38.784
21.15,37.93332
21.2,37.15752
21.25,36.39307
21.3,35.67041
21.35,35.14046
21.4,34.91561
21.45,35.12202
21.5,35.87965
21.55,37.0542
21.6,38.44501
21.65,39.49769
21.7,39.81568
21.75,40.03326
21.8,41.23407
21.85,44.55893
21.9,48.96103
21.95,52.55133
22,53.58818
22.05,51.48214
22.1,47.57472
22.15,43.40457
22.2,39.90766
22.25,37.60748
22.3,36.12743
22.35,35.04749
22.4,33.70031
22.45,31.8981
22.5,29.90218
22.55,28.17251
22.6,26.8947
22.65,26.0357
22.7,25.27355
22.75,24.58321
22.8,23.87599
22.85,23.2224
22.9,22.66099
22.95,22.05784
23,21.48563
23.05,21.03556
23.1,20.83227
23.15,21.10309
23.2,21.80721
23.25,22.50881
23.3,22.7048
23.35,21.93894
23.4,20.57497
23.45,19.12864
23.5,17.84864
23.55,16.70374
23.6,15.68378
23.65,15.00974
23.7,15.06855
23.75,15.8631
23.8,16.53325
23.85,16.53241
23.9,15.74037
23.95,14.67268
24,13.98357
24.05,13.82746
24.1,13.84656
24.15,13.66847
24.2,13.07937
24.25,12.39597
24.3,11.96356
24.35,11.97168
24.4,12.24785
24.45,12.38718
24.5,12.22588
24.55,11.74347
24.6,11.11172
24.65,10.42824
24.7,9.786785
24.75,9.204886
24.8,8.760815
24.85,8.50526
24.9,8.41411
24.95,8.375609
25,8.336248
