Data File Name,2100 expert_Eukaryote Total RNA Pico_DE13805791_2015-08-26_14-49-17.xad
Data File Path,C:\Laurent\Meenu\2015-08-26
Date Created,"Wednesday, August 26, 2015 9:49:16 PM"
Date Last Modified,"Wednesday, August 26, 2015 10:12:31 PM"
Version Created,B.02.08.SI648
Version Last Modified,B.02.08.SI648
 
Assay Name,Eukaryote Total RNA Pico Series II
Assay Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\assays\RNA
Assay Title,Eukaryote Total RNA Pico
Assay Version,2.6
 
Number of Samples Run,11
 
Sample Name,miRNeasy (1) Male Pool 1
Number of Events,1060
 
Time,Value
17,1.683149E-02
17.05,3.760554E-03
17.1,-1.475784E-02
17.15,-1.522068E-02
17.2,-4.518803E-03
17.25,0.0027718
17.3,1.463464E-02
17.35,1.625844E-02
17.4,1.267659E-02
17.45,6.037913E-03
17.5,-6.725923E-03
17.55,-3.984489E-03
17.6,-1.436615E-02
17.65,-9.648145E-03
17.7,6.791006E-03
17.75,1.216675E-02
17.8,3.130826E-03
17.85,-1.223861E-02
17.9,-1.543928E-02
17.95,-1.724996E-02
18,-1.739745E-02
18.05,-6.892503E-03
18.1,-1.155651E-03
18.15,1.107518E-02
18.2,2.144481E-02
18.25,-4.030075E-02
18.3,0.1441762
18.35,0.2672987
18.4,0.3237502
18.45,0.277502
18.5,0.1777504
18.55,3.092442E-02
18.6,-7.121138E-02
18.65,-6.534212E-02
18.7,-4.705151E-02
18.75,-6.279694E-02
18.8,-4.485806E-02
18.85,-8.501388E-03
18.9,-3.237833E-03
18.95,-1.113071E-02
19,-2.665468E-02
19.05,-0.0512907
19.1,-5.993756E-02
19.15,-5.780785E-02
19.2,-4.169131E-02
19.25,-3.379085E-02
19.3,-4.741088E-02
19.35,-5.152447E-02
19.4,-4.512336E-02
19.45,-4.209103E-02
19.5,-4.805616E-02
19.55,-0.0709224
19.6,-9.129214E-02
19.65,-0.1181529
19.7,-0.1078886
19.75,-0.0851538
19.8,-8.745575E-02
19.85,-9.397727E-02
19.9,-0.1234343
19.95,-0.1288774
20,-9.901983E-02
20.05,-5.752695E-02
20.1,-5.308073E-03
20.15,1.303146E-02
20.2,1.679007E-02
20.25,1.772879E-02
20.3,0.0270433
20.35,2.205549E-02
20.4,2.346524E-02
20.45,4.122879E-02
20.5,5.672969E-02
20.55,5.950462E-02
20.6,0.0798274
20.65,0.0782442
20.7,8.824336E-02
20.75,0.1058305
20.8,0.1375098
20.85,0.1653322
20.9,0.1784687
20.95,0.1794661
21,0.1727666
21.05,0.1705631
21.1,0.1708558
21.15,0.187031
21.2,0.2051901
21.25,0.2108895
21.3,0.2285022
21.35,0.2517904
21.4,0.276172
21.45,0.2695966
21.5,0.2565625
21.55,0.2391416
21.6,0.2166571
21.65,0.2394323
21.7,0.3983372
21.75,0.9666486
21.8,2.381687
21.85,4.903902
21.9,8.097156
21.95,10.75477
22,11.6709
22.05,10.20566
22.1,7.235921
22.15,4.109109
22.2,1.89239
22.25,0.8691607
22.3,0.684566
22.35,0.8121048
22.4,0.9392086
22.45,1.009754
22.5,1.065657
22.55,1.138601
22.6,1.26377
22.65,1.397493
22.7,1.554665
22.75,1.670283
22.8,1.779824
22.85,1.86562
22.9,1.954721
22.95,2.06516
23,2.197543
23.05,2.351938
23.1,2.522273
23.15,2.697912
23.2,2.892598
23.25,3.065731
23.3,3.250169
23.35,3.456082
23.4,3.683789
23.45,3.90457
23.5,4.075167
23.55,4.249191
23.6,4.400684
23.65,4.538849
23.7,4.718051
23.75,4.869193
23.8,5.071316
23.85,5.404581
23.9,5.651852
23.95,5.800092
24,5.907115
24.05,5.981382
24.1,6.003692
24.15,6.083704
24.2,6.333563
