Data File Name,2100 expert_Eukaryote Total RNA Pico_DE13805791_2015-08-26_14-49-17.xad
Data File Path,C:\Laurent\Meenu\2015-08-26
Date Created,"Wednesday, August 26, 2015 9:49:16 PM"
Date Last Modified,"Wednesday, August 26, 2015 10:12:31 PM"
Version Created,B.02.08.SI648
Version Last Modified,B.02.08.SI648
 
Assay Name,Eukaryote Total RNA Pico Series II
Assay Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\assays\RNA
Assay Title,Eukaryote Total RNA Pico
Assay Version,2.6
 
Number of Samples Run,11
 
Sample Name,miRNeasy (1) Female Pool 1
Number of Events,1060
 
Time,Value
17,0.1718757
17.05,0.1837454
17.1,0.1768636
17.15,0.1515861
17.2,0.1024911
17.25,0.0609909
17.3,5.197639E-02
17.35,5.493522E-02
17.4,7.215535E-02
17.45,6.631866E-02
17.5,6.056432E-02
17.55,3.400522E-02
17.6,2.319336E-03
17.65,-1.497983E-02
17.7,-2.602051E-02
17.75,-1.595037E-02
17.8,-1.311215E-02
17.85,-4.598507E-03
17.9,-7.263593E-03
17.95,-0.0219021
18,-4.270241E-02
18.05,-5.647494E-02
18.1,-5.483344E-02
18.15,-0.0480508
18.2,-1.486189E-02
18.25,5.145598E-03
18.3,8.557542E-03
18.35,-2.301897E-02
18.4,-6.976631E-02
18.45,-0.0830315
18.5,-9.931986E-02
18.55,-7.856358E-02
18.6,-5.347581E-02
18.65,-5.559527E-02
18.7,-7.013351E-02
18.75,-7.847866E-02
18.8,-8.196328E-02
18.85,-9.238447E-02
18.9,-8.390741E-02
18.95,-7.856695E-02
19,-7.822869E-02
19.05,-7.321016E-02
19.1,-7.470682E-02
19.15,-8.424123E-02
19.2,-0.1182002
19.25,-0.1526112
19.3,-0.1697561
19.35,-0.1587937
19.4,-0.1191541
19.45,-7.353362E-02
19.5,-5.173706E-02
19.55,-6.305586E-02
19.6,-9.736883E-02
19.65,-0.132951
19.7,-0.1596298
19.75,-0.1632556
19.8,-0.1648331
19.85,-0.1467678
19.9,-0.1213471
19.95,-0.1380793
20,-0.1742939
20.05,-0.1997941
20.1,-0.2083554
20.15,-0.1933161
20.2,-0.123324
20.25,-3.708019E-02
20.3,1.213477E-02
20.35,4.860151E-02
20.4,6.609414E-02
20.45,5.576386E-02
20.5,3.517995E-02
20.55,3.132218E-02
20.6,3.930872E-02
20.65,6.738992E-02
20.7,0.1012819
20.75,0.1215379
20.8,0.1299518
20.85,0.1349735
20.9,0.1375885
20.95,0.1435137
21,0.1707642
21.05,0.1752235
21.1,0.1902826
21.15,0.1978777
21.2,0.17846
21.25,0.1671295
21.3,0.1582926
21.35,0.2053618
21.4,0.1970236
21.45,0.1818338
21.5,0.1647735
21.55,0.1396326
21.6,0.1256072
21.65,0.1204004
21.7,0.2416742
21.75,0.8081404
21.8,2.359731
21.85,5.178518
21.9,8.593497
21.95,11.21573
22,11.69835
22.05,9.654477
22.1,6.366139
22.15,3.275657
22.2,1.394306
22.25,0.7840003
22.3,0.867761
22.35,1.11455
22.4,1.294461
22.45,1.426233
22.5,1.566785
22.55,1.741345
22.6,1.982901
22.65,2.248621
22.7,2.533322
22.75,2.825793
22.8,3.182603
22.85,3.590136
22.9,4.012511
22.95,4.35787
23,4.677704
23.05,5.012901
23.1,5.391054
23.15,5.832902
23.2,6.299545
23.25,6.720166
23.3,7.028141
23.35,7.290874
23.4,7.499181
23.45,7.665984
23.5,7.762218
23.55,7.874195
23.6,7.962551
23.65,8.000068
23.7,7.999751
23.75,7.972124
23.8,7.980103
23.85,8.05221
23.9,8.192545
23.95,8.348172
24,8.486922
24.05,8.644132
24.1,8.793597
24.15,8.939681
24.2,9.054094
24.25,9.203423
24.3,9.349061
