Data File Name,2100 expert_Eukaryote Total RNA Pico_DE13805791_2015-08-26_14-49-17.xad
Data File Path,C:\Laurent\Meenu\2015-08-26
Date Created,"Wednesday, August 26, 2015 9:49:16 PM"
Date Last Modified,"Wednesday, August 26, 2015 10:12:31 PM"
Version Created,B.02.08.SI648
Version Last Modified,B.02.08.SI648
 
Assay Name,Eukaryote Total RNA Pico Series II
Assay Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\assays\RNA
Assay Title,Eukaryote Total RNA Pico
Assay Version,2.6
 
Number of Samples Run,11
 
Sample Name,Filtered 2
Number of Events,1060
 
Time,Value
17,-0.2076905
17.05,-0.2091871
17.1,-0.2160707
17.15,-0.2116001
17.2,-0.198298
17.25,-0.1971828
17.3,-0.2160819
17.35,-0.2321252
17.4,-0.2263226
17.45,-0.1996394
17.5,-0.1721485
17.55,-0.1228573
17.6,-6.258774E-02
17.65,-2.678758E-02
17.7,-3.171629E-02
17.75,-0.0263462
17.8,3.146778E-03
17.85,2.281418E-02
17.9,0.0137588
17.95,5.533658E-03
18,1.443978E-02
18.05,-5.561165E-03
18.1,-2.711437E-02
18.15,-0.0387534
18.2,-5.888558E-02
18.25,-8.314126E-02
18.3,-0.1010155
18.35,-0.1051441
18.4,-8.547233E-02
18.45,-6.062371E-02
18.5,-3.561113E-02
18.55,-7.304205E-04
18.6,4.441978E-02
18.65,9.412804E-02
18.7,0.1206697
18.75,0.1543735
18.8,0.1331231
18.85,8.717258E-02
18.9,0.0898695
18.95,8.872803E-02
19,7.813875E-02
19.05,6.376575E-02
19.1,4.885414E-02
19.15,1.655682E-02
19.2,-0.0136088
19.25,-1.353484E-02
19.3,5.651335E-03
19.35,2.505527E-02
19.4,4.622653E-02
19.45,8.084057E-02
19.5,0.1107763
19.55,0.1030143
19.6,0.1344601
19.65,0.3275059
19.7,0.4315304
19.75,0.4215091
19.8,0.3457794
19.85,0.253046
19.9,0.1313665
19.95,4.004153E-02
20,9.844889E-02
20.05,0.1069553
20.1,7.983232E-02
20.15,9.765766E-02
20.2,0.1131234
20.25,8.991083E-02
20.3,0.1126966
20.35,0.1697491
20.4,0.2629319
20.45,0.2881053
20.5,0.3170236
20.55,0.3354492
20.6,0.2953455
20.65,0.3089249
20.7,0.37351
20.75,0.4205892
20.8,0.4813464
20.85,0.5183953
20.9,0.5763332
20.95,0.5938917
21,0.616587
21.05,0.6491
21.1,0.6589077
21.15,0.6555105
21.2,0.6519621
21.25,0.6753983
21.3,0.6987911
21.35,0.7139488
21.4,0.7142804
21.45,0.7045416
21.5,0.7071557
21.55,0.7315883
21.6,0.7537205
21.65,0.731693
21.7,0.6527226
21.75,0.7120892
21.8,1.67491
21.85,4.449183
21.9,8.884219
21.95,13.37778
22,15.74184
22.05,14.67489
22.1,10.88875
22.15,6.328713
22.2,2.937447
22.25,1.458745
22.3,1.406941
22.35,1.82305
22.4,2.227232
22.45,2.572234
22.5,3.005856
22.55,3.594597
22.6,4.288895
22.65,5.049501
22.7,5.939266
22.75,6.997227
22.8,8.292894
22.85,9.912096
22.9,11.95604
22.95,14.49835
23,17.3431
23.05,20.26534
23.1,22.92625
23.15,25.10036
23.2,26.58054
23.25,27.54128
23.3,28.2603
23.35,28.83224
23.4,29.60335
23.45,30.50614
23.5,31.57566
23.55,32.9584
23.6,34.53324
23.65,36.36494
23.7,38.3601
23.75,40.53002
23.8,42.94888
23.85,45.53861
23.9,48.42225
23.95,51.46101
24,54.40902
24.05,57.30918
24.1,60.06001
24.15,62.51982
24.2,64.74382
24.25,67.03239
24.3,69.61807
24.35,72.59871
24.4,76.24799
24.45,80.38112
24.5,84.66294
24.55,88.70099
24.6,92.14229
24.65,94.75221
