Data File Name,2100 expert_Eukaryote Total RNA Pico_DE13805791_2015-08-26_14-49-17.xad
Data File Path,C:\Laurent\Meenu\2015-08-26
Date Created,"Wednesday, August 26, 2015 9:49:16 PM"
Date Last Modified,"Wednesday, August 26, 2015 10:12:31 PM"
Version Created,B.02.08.SI648
Version Last Modified,B.02.08.SI648
 
Assay Name,Eukaryote Total RNA Pico Series II
Assay Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\assays\RNA
Assay Title,Eukaryote Total RNA Pico
Assay Version,2.6
 
Number of Samples Run,11
 
Sample Name,miRNeasy (1) Male Pool 2
Number of Events,1060
 
Time,Value
17,1.043875E-02
17.05,6.215415E-03
17.1,2.204569E-02
17.15,1.393624E-02
17.2,1.208199E-02
17.25,-8.451716E-04
17.3,-1.124349E-02
17.35,-2.534579E-02
17.4,-2.789548E-02
17.45,-2.839435E-02
17.5,-0.0264756
17.55,7.303611E-03
17.6,3.341962E-02
17.65,0.0236249
17.7,-9.373206E-04
17.75,-0.0214215
17.8,-9.465835E-03
17.85,-9.066736E-03
17.9,2.896519E-02
17.95,5.264465E-02
18,3.474299E-02
18.05,4.692943E-03
18.1,-2.59795E-03
18.15,-1.310671E-02
18.2,-0.0718587
18.25,-7.049545E-02
18.3,-6.561825E-02
18.35,-5.647446E-02
18.4,-2.815446E-02
18.45,1.199165E-02
18.5,1.583907E-02
18.55,-3.435422E-02
18.6,-6.311579E-02
18.65,-7.643159E-02
18.7,-0.1035734
18.75,-0.1049832
18.8,-0.1017462
18.85,-7.615753E-02
18.9,-6.153534E-02
18.95,-5.505859E-02
19,-6.956664E-02
19.05,-0.0930267
19.1,-0.121663
19.15,-0.1478548
19.2,-0.1316702
19.25,-0.1482339
19.3,-0.1426151
19.35,-0.1158687
19.4,-0.1244499
19.45,-0.1203576
19.5,-0.1221617
19.55,-0.1160317
19.6,-0.1204047
19.65,-9.566957E-02
19.7,-6.090364E-02
19.75,-7.510845E-02
19.8,-7.715684E-02
19.85,-0.1159945
19.9,-0.14503
19.95,-0.1736604
20,-0.1723143
20.05,-0.1494183
20.1,-0.1358928
20.15,-0.122814
20.2,-0.1181366
20.25,-0.1112174
20.3,-9.669361E-02
20.35,-6.519423E-02
20.4,-2.524048E-02
20.45,1.350272E-03
20.5,3.633594E-02
20.55,5.566966E-02
20.6,7.981418E-02
20.65,6.552932E-02
20.7,6.752931E-02
20.75,5.263026E-02
20.8,5.895964E-02
20.85,6.736143E-02
20.9,6.485332E-02
20.95,6.262751E-02
21,7.770553E-02
21.05,7.616736E-02
21.1,6.895651E-02
21.15,5.785211E-02
21.2,4.890487E-02
21.25,3.262362E-02
21.3,3.569399E-02
21.35,6.979204E-02
21.4,8.723629E-02
21.45,7.408921E-02
21.5,7.421613E-02
21.55,7.112499E-02
21.6,5.514806E-02
21.65,0.0281667
21.7,1.199127E-02
21.75,0.1380671
21.8,0.8078296
21.85,2.427829
21.9,4.853552
21.95,7.067334
22,7.884411
22.05,6.764881
22.1,4.453002
22.15,2.107088
22.2,0.6363562
22.25,0.1908085
22.3,0.2887859
22.35,0.4475782
22.4,0.5200086
22.45,0.5447869
22.5,0.5459098
22.55,0.5690889
22.6,0.6259136
22.65,0.678472
22.7,0.7443218
22.75,0.819407
22.8,0.8871908
22.85,0.9496405
22.9,1.011452
22.95,1.09789
23,1.157217
23.05,1.213925
23.1,1.29429
23.15,1.369584
23.2,1.445578
23.25,1.552732
23.3,1.662578
23.35,1.750221
23.4,1.842595
23.45,1.945169
23.5,1.989514
23.55,2.043403
23.6,2.111259
23.65,2.167952
23.7,2.219533
23.75,2.283423
23.8,2.360719
23.85,2.438331
23.9,2.515079
23.95,2.558487
24,2.582292
