Data File Name,2100 expert_Eukaryote Total RNA Pico_DE13805791_2015-08-26_14-49-17.xad
Data File Path,C:\Laurent\Meenu\2015-08-26
Date Created,"Wednesday, August 26, 2015 9:49:16 PM"
Date Last Modified,"Wednesday, August 26, 2015 10:12:31 PM"
Version Created,B.02.08.SI648
Version Last Modified,B.02.08.SI648
 
Assay Name,Eukaryote Total RNA Pico Series II
Assay Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\assays\RNA
Assay Title,Eukaryote Total RNA Pico
Assay Version,2.6
 
Number of Samples Run,11
 
Sample Name,Not Filtered 1
Number of Events,1060
 
Time,Value
17,-0.1439428
17.05,-0.1537793
17.1,-0.1718662
17.15,-0.1691316
17.2,-0.1668173
17.25,-0.1314532
17.3,-8.658217E-02
17.35,-4.594159E-02
17.4,-3.419158E-02
17.45,-4.508255E-02
17.5,-6.344126E-02
17.55,-6.173108E-02
17.6,-7.001416E-02
17.65,-6.913058E-02
17.7,-6.320184E-02
17.75,-3.879519E-02
17.8,-1.726822E-02
17.85,1.932333E-02
17.9,3.981602E-02
17.95,4.595318E-02
18,3.210982E-02
18.05,0.0396079
18.1,5.871671E-02
18.15,8.067942E-02
18.2,9.110174E-02
18.25,9.870399E-02
18.3,7.307773E-02
18.35,6.100437E-02
18.4,5.385981E-02
18.45,6.948507E-02
18.5,7.788915E-02
18.55,8.798161E-02
18.6,0.1209847
18.65,0.1892029
18.7,0.231157
18.75,0.2152379
18.8,0.173728
18.85,0.1305837
18.9,0.1060377
18.95,9.206383E-02
19,0.1751167
19.05,0.1919753
19.1,0.1931099
19.15,0.2006177
19.2,0.1884825
19.25,0.1716076
19.3,0.1622628
19.35,0.1725993
19.4,0.2011348
19.45,0.2280454
19.5,0.2626791
19.55,0.2713521
19.6,0.2733259
19.65,0.2778494
19.7,0.2509143
19.75,0.2320472
19.8,0.2363633
19.85,0.2857375
19.9,0.3439281
19.95,0.4016565
20,0.457683
20.05,0.4635945
20.1,0.4446851
20.15,0.4298713
20.2,0.4210634
20.25,0.4172374
20.3,0.4552047
20.35,0.5087071
20.4,0.5341386
20.45,0.5717587
20.5,0.5956059
20.55,0.6390259
20.6,0.6857805
20.65,0.7621862
20.7,0.8247358
20.75,0.8365887
20.8,0.8383196
20.85,0.8539403
20.9,0.8918294
20.95,0.9266052
21,0.9862806
21.05,1.026132
21.1,1.079361
21.15,1.12457
21.2,1.148366
21.25,1.190747
21.3,1.173636
21.35,1.175321
21.4,1.201079
21.45,1.22268
21.5,1.24029
21.55,1.225341
21.6,1.233961
21.65,1.249584
21.7,1.285761
21.75,1.449783
21.8,2.254411
21.85,4.574404
21.9,8.794945
21.95,13.64898
22,16.80601
22.05,16.29614
22.1,12.7417
22.15,7.982891
22.2,4.183889
22.25,2.417466
22.3,2.285886
22.35,2.72177
22.4,3.190203
22.45,3.689351
22.5,4.324522
22.55,5.214491
22.6,6.347086
22.65,7.653942
22.7,9.137038
22.75,10.76511
22.8,12.6285
22.85,14.84971
22.9,17.6895
22.95,21.11282
23,25.08313
23.05,29.30366
23.1,33.37008
23.15,36.92293
23.2,39.84546
23.25,42.21314
23.3,44.10688
23.35,45.81703
23.4,47.45118
23.45,49.12683
23.5,50.91505
23.55,52.86979
23.6,55.15406
23.65,57.62935
23.7,60.37197
23.75,63.42485
23.8,66.82052
23.85,70.57623
23.9,74.69862
23.95,79.11985
24,83.65799
24.05,88.34669
24.1,93.03784
24.15,97.57693
24.2,101.7893
24.25,106.1093
24.3,110.5637
24.35,115.6238
24.4,121.3647
24.45,128.089
24.5,135.28
24.55,142.8159
24.6,150.6149
24.65,158.391
24.7,165.6633
24.75,172.1284
24.8,177.5478
24.85,181.8945
