Data File Name,2100 expert_Eukaryote Total RNA Pico_DE13805791_2015-08-26_14-49-17.xad
Data File Path,C:\Laurent\Meenu\2015-08-26
Date Created,"Wednesday, August 26, 2015 9:49:16 PM"
Date Last Modified,"Wednesday, August 26, 2015 10:12:31 PM"
Version Created,B.02.08.SI648
Version Last Modified,B.02.08.SI648
 
Assay Name,Eukaryote Total RNA Pico Series II
Assay Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\assays\RNA
Assay Title,Eukaryote Total RNA Pico
Assay Version,2.6
 
Number of Samples Run,11
 
Sample Name,Not Filtered 3
Number of Events,1060
 
Time,Value
17,-1.413553E-02
17.05,-2.364653E-02
17.1,-1.036607E-02
17.15,-9.826147E-03
17.2,-1.076963E-02
17.25,-5.735991E-03
17.3,-3.717669E-04
17.35,4.320735E-03
17.4,1.475074E-02
17.45,2.698708E-02
17.5,2.485369E-02
17.55,0.0282275
17.6,1.589203E-02
17.65,1.156675E-02
17.7,4.123359E-03
17.75,-1.668718E-03
17.8,-3.05696E-03
17.85,-1.907361E-02
17.9,-2.947168E-02
17.95,-3.166543E-02
18,-2.387238E-02
18.05,-0.0101409
18.1,8.941373E-03
18.15,6.944541E-03
18.2,-2.312397E-02
18.25,-6.495453E-02
18.3,-4.225824E-02
18.35,-0.0154398
18.4,0.0200223
18.45,2.557145E-02
18.5,1.408051E-02
18.55,-2.403089E-02
18.6,-4.628234E-02
18.65,-3.925174E-02
18.7,-3.297242E-02
18.75,-0.0232163
18.8,-1.893026E-02
18.85,-0.0283278
18.9,-4.331638E-02
18.95,-5.999825E-02
19,-4.870952E-02
19.05,-0.0372449
19.1,-2.194585E-02
19.15,-7.309931E-03
19.2,6.320616E-03
19.25,6.15117E-03
19.3,3.439055E-03
19.35,-1.452309E-03
19.4,-8.975636E-03
19.45,-1.831592E-02
19.5,-1.620727E-02
19.55,-1.722707E-02
19.6,-1.392321E-02
19.65,-2.128156E-02
19.7,1.247613E-02
19.75,9.393792E-02
19.8,0.1395111
19.85,0.1229894
19.9,5.182437E-02
19.95,6.061536E-04
20,-4.563072E-02
20.05,-5.741351E-02
20.1,-1.563464E-02
20.15,1.006784E-02
20.2,0.0177473
20.25,1.893258E-02
20.3,2.464707E-02
20.35,9.044391E-03
20.4,6.824146E-03
20.45,2.956856E-02
20.5,4.893234E-02
20.55,7.357547E-02
20.6,8.511491E-02
20.65,8.946228E-02
20.7,0.1048961
20.75,0.1128948
20.8,0.1242461
20.85,0.1348266
20.9,0.1532516
20.95,0.1688856
21,0.1974754
21.05,0.2083626
21.1,0.1877424
21.15,0.157411
21.2,0.1414016
21.25,0.1770055
21.3,0.2099063
21.35,0.2355266
21.4,0.2304018
21.45,0.2022079
21.5,0.1818697
21.55,0.1612883
21.6,0.1648872
21.65,0.1934716
21.7,0.1853177
21.75,0.2476886
21.8,0.8674594
21.85,2.773766
21.9,6.152798
21.95,10.0112
22,12.53803
22.05,12.12635
22.1,9.245431
22.15,5.433804
22.2,2.377726
22.25,0.9001386
22.3,0.6971335
22.35,1.029401
22.4,1.363856
22.45,1.677198
22.5,2.109905
22.55,2.705903
22.6,3.517874
22.65,4.500083
22.7,5.687659
22.75,6.995476
22.8,8.478004
22.85,10.25172
22.9,12.35535
22.95,14.97327
23,18.04119
23.05,21.43816
23.1,24.97932
23.15,28.45154
23.2,31.66746
23.25,34.41629
23.3,36.79577
23.35,38.85603
23.4,40.71491
23.45,42.42289
23.5,44.29758
23.55,46.26897
23.6,48.24257
23.65,50.57279
23.7,53.25708
23.75,56.21043
23.8,59.56412
23.85,63.25208
23.9,67.27756
23.95,71.7418
24,76.71323
24.05,81.97068
24.1,87.22044
24.15,92.5499
24.2,97.77215
