Data File Name,2100 expert_Eukaryote Total RNA Pico_DE13805791_2015-08-26_14-49-17.xad
Data File Path,C:\Laurent\Meenu\2015-08-26
Date Created,"Wednesday, August 26, 2015 9:49:16 PM"
Date Last Modified,"Wednesday, August 26, 2015 10:12:31 PM"
Version Created,B.02.08.SI648
Version Last Modified,B.02.08.SI648
 
Assay Name,Eukaryote Total RNA Pico Series II
Assay Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\assays\RNA
Assay Title,Eukaryote Total RNA Pico
Assay Version,2.6
 
Number of Samples Run,11
 
Sample Name,miRNeasy (1) Male Pool 3
Number of Events,1060
 
Time,Value
17,4.631389E-03
17.05,2.136885E-02
17.1,3.091933E-02
17.15,3.350005E-02
17.2,0.0532785
17.25,0.057887
17.3,2.617849E-02
17.35,2.098234E-02
17.4,1.229165E-02
17.45,-4.784796E-03
17.5,9.864533E-03
17.55,2.535565E-02
17.6,2.745056E-02
17.65,1.404765E-02
17.7,2.718108E-02
17.75,1.825754E-02
17.8,-1.371072E-02
17.85,-1.557069E-02
17.9,-0.0210151
17.95,-3.030873E-02
18,-1.810837E-02
18.05,-1.507698E-02
18.1,-2.539301E-02
18.15,-1.729757E-02
18.2,-3.34369E-04
18.25,1.205508E-02
18.3,4.842418E-03
18.35,2.254137E-02
18.4,1.194312E-02
18.45,9.876311E-03
18.5,1.713383E-02
18.55,2.456347E-02
18.6,6.032424E-03
18.65,-1.983901E-02
18.7,-2.501846E-02
18.75,-1.885595E-02
18.8,-1.548802E-02
18.85,-0.023234
18.9,-3.772278E-02
18.95,-4.268165E-02
19,-4.811062E-02
19.05,-4.036088E-02
19.1,-5.542593E-03
19.15,2.98775E-04
19.2,-0.0164982
19.25,-2.958962E-02
19.3,-0.0272403
19.35,-1.909596E-02
19.4,1.053862E-02
19.45,5.245952E-02
19.5,5.604511E-02
19.55,2.848466E-02
19.6,1.367479E-03
19.65,-3.730715E-02
19.7,-5.967052E-02
19.75,-6.447769E-02
19.8,-5.685425E-02
19.85,-5.789904E-02
19.9,-4.820552E-02
19.95,-1.675201E-02
20,4.696239E-03
20.05,1.313745E-02
20.1,3.388993E-03
20.15,-1.246366E-02
20.2,-1.154596E-02
20.25,-0.0119701
20.3,-3.413395E-03
20.35,-1.063375E-03
20.4,1.229477E-02
20.45,0.0206833
20.5,6.189433E-02
20.55,0.1008305
20.6,0.1170765
20.65,0.1587874
20.7,0.2032759
20.75,0.2215941
20.8,0.2167719
20.85,0.213484
20.9,0.1974697
20.95,0.1904504
21,0.2215583
21.05,0.2393271
21.1,0.2265958
21.15,0.2127333
21.2,0.2199777
21.25,0.2086436
21.3,0.2308276
21.35,0.25011
21.4,0.2467232
21.45,0.2217547
21.5,0.2208837
21.55,0.236031
21.6,0.2434973
21.65,0.2662323
21.7,0.3585935
21.75,0.8245955
21.8,2.110464
21.85,4.498858
21.9,7.419865
21.95,9.702085
22,10.2651
22.05,8.664557
22.1,5.879606
22.15,3.200532
22.2,1.483289
22.25,0.8326753
22.3,0.804348
22.35,0.9794996
22.4,1.094385
22.45,1.168521
22.5,1.237425
22.55,1.292768
22.6,1.369925
22.65,1.497915
22.7,1.652473
22.75,1.798235
22.8,1.978326
22.85,2.130968
22.9,2.281267
22.95,2.420472
23,2.587422
23.05,2.739347
23.1,2.907236
23.15,3.115461
23.2,3.339123
23.25,3.579615
23.3,3.831786
23.35,4.09267
23.4,4.313497
23.45,4.517273
23.5,4.707943
23.55,4.889166
23.6,5.047014
23.65,5.193059
23.7,5.349353
23.75,5.48902
23.8,5.64005
23.85,5.816106
23.9,5.982089
23.95,6.101907
24,6.210078
24.05,6.337927
24.1,6.470942
24.15,6.660917
24.2,6.884583
